운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326)
사용중,당산근린공원 지하1~2층 주차장,공공용시설,서울특별시 영등포구 당산로27길 12 (당산동3가),서울특별시 영등포구 당산동3가 385번지,지하,6183.66,7495,37.52520053,126.8951422
사용중,대림동1차한신아파트 지하1층,공공용시설,"서울특별시 영등포구 디지털로69길 13(대림동, 대림동1차한신아파트)",서울특별시 영등포구 대림동 887-1 대림동1차한신아파트,지하,7084,8586,37.49466041,126.9035802
사용중,대림동현대아파트 지하1층,공공용시설,"서울특별시 영등포구 시흥대로187길 12(대림동, 대림동현대아파트)",서울특별시 영등포구 대림동 946-1 대림동현대아파트,지하,6183,7494,37.49277814,126.9077454
사용중,영등포푸르지오아파트 지하1층 주차장,공공용시설,"서울특별시 영등포구 도신로29길 28(영등포동, 영등포푸르지오)",서울특별시 영등포구 영등포동 647 영등포푸르지오,지하,60500,73333,37.51082184,126.9041232
사용중,신길종합사회복지관 지하주차장 지하1층 ~지하2층,공공용시설,"서울특별시 영등포구 영등포로84길 24-5, 신길종합사회복지관 (신길동)",서울특별시 영등포구 신길동 465-1 신길종합사회복지관,지하,3604,4368,37.51114937,126.9215194
사용중,문래힐스테이트 지하1층 주차장,공공용시설,"서울특별시 영등포구 문래로 82(문래동3가, 문래힐스테이트)",서울특별시 영등포구 문래동3가 94 문래힐스테이트,지하,30100,36484,37.51952153,126.8909712
사용중,삼성래미안 102동 아파트 지하주차장 지하1층~지하3층,공공용시설,"서울특별시 영등포구 가마산로79길 7(신길동, 삼성래미안아파트)",서울특별시 영등포구 신길동 4934 삼성래미안아파트,지하,9364,11350,37.50514886,126.9160263
사용중,삼성래미안 106동 아파트 지하주차장 지하1층~지하3층,공공용시설,"서울특별시 영등포구 가마산로79길 7(신길동, 삼성래미안아파트)",서울특별시 영등포구 신길동 4934 삼성래미안아파트,지하,7589,9198,37.50514886,126.9160263
사용중,영등포아트홀 지하1층 주차장,공공용시설,"서울특별시 영등포구 국회대로 596, 영등포구민회관 (당산동3가)",서울특별시 영등포구 당산동3가 3 영등포구민회관,지하,2054,2489,37.52624448,126.9001512
사용중,지하철7호선신풍역,공공용시설,"서울특별시 영등포구 신풍로 지하27, 신풍역 (신길동)",서울특별시 영등포구 신길동 3599 신풍역,지하,8662,10499,37.50016519,126.9090345
